Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters,
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,17.30%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,18.73%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,23.59%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,18.62%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,19.83%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,12.42%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.65%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,5.28%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,22.15%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,25.34%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,24.12%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
