Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,33.94%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,40.14%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,39.68%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,40.18%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,42.67%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,42.16%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,43.03%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,19.00%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,18.70%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,19.00%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,25.88%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,24.81%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,27.70%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
